	('DM', 'Type: Invertebrate')	('DR', 'Type: Vertebrate')	('MM', 'Type: Vertebrate')	('XT', 'Type: Vertebrate')	('CE', 'Type: Invertebrate')
('evgLocus_FX_39109_XP_005106335.1_PREDICTED:_ras-related_protein_Rab-4B_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.11327905910300465	-0.025389834555285283	-0.05803440367300962	-0.06054552437437303	-0.3719244913434359
('evgLocus_FX_42627_AAO83838.2_voltage-dependent_L-type_calcium_channel_alpha-1_subunit_isoform_a_[Lymnaea_stagnalis]', 'Category: Dense Projection')	-0.23883509417117518	-0.299101991003897	-0.2940797496011702	-0.2940797496011702	-0.3166798359134409
('evgLocus_FX_44972_XP_013096741.1_PREDICTED:_rab-like_protein_3_isoform_X2_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.5025027678143332	-0.4095913018638871	-0.4095913018638871	-0.3920134569543432	-0.6908368204165891
('evgLocus_FX_47962_XP_013068492.1_PREDICTED:_vesicle-associated_membrane_protein_4-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.8058461485390334	-0.7285036309370402	-0.7310147516384037	-0.7990661226453522	-0.8224195451680317
('evgLocus_FX_55750_XP_013084739.1_PREDICTED:_cdc42_homolog_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.6330810442852306	-0.6255476821811404	-0.6255476821811404	-0.6255476821811404	-0.6330810442852306
('evgLocus_FX_59926_XP_012944640.1_PREDICTED:_regulating_synaptic_membrane_exocytosis_protein_2-like_[Aplysia_californica]', 'Category: AZ-Proximal Zone')	-0.7875149674190803	-0.8251817779395315	-0.8194062003263957	-0.8339707003943034	-0.7779727087538993
('evgLocus_FX_67521_XP_021377513.1_regulating_synaptic_membrane_exocytosis_protein_2-like_isoform_X1_[Mizuhopecten_yessoensis]', 'Category: AZ-Proximal Zone')	-0.6933479411179525	-0.7259925102356768	-0.7033924239234062	-0.7335258723397671	-0.7184591481315866
('evgLocus_FX_23177_XP_005106594.2_PREDICTED:_regulating_synaptic_membrane_exocytosis_protein_2-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.5577474232443284	-0.21372388715754106	-0.13587914541527535	-0.1961460422479972	-0.6782812169097721
('evgLocus_Scallop_AE_23752_XP_013085125.1_PREDICTED:_liprin-alpha-1-like_isoform_X1_[Biomphalaria_glabrata]', 'Category: AZ-Distal Zone')	1.9383065539109017	2.046284744069528	2.0412625026668016	2.0412625026668016	1.4009267238191319
('evgLocus_scallop_AH_6941_XP_013089282.1_PREDICTED:_golgin_subfamily_B_member_1-like_isoform_X5_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	-0.8146350709938053	-0.7360369930411305	-0.7310147516384037	-0.7508526051791745	-0.8475307521816658
('evgLocus_scallop_AH_9607_XP_013088140.1_PREDICTED:_ras_and_EF-hand_domain-containing_protein-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.61048095797296	-0.035434317360738925	-0.13587914541527535	-0.05050104156891939	-0.4573025951897919
('evgLocus_strawberry_AE_11045_XP_013089274.1_PREDICTED:_centromere_protein_F-like_isoform_X4_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	-0.8136306227132598	-0.592903113063416	-0.6155031993756868	-0.5878808716606893	-0.8475307521816658
('evgLocus_strawberry_AE_20077_AKH03687.1_voltage-gated_sodium_channel_alpha_subunit_LNav14a21+_[Lymnaea_stagnalis]', 'Category: Dense Projection')	1.242726119633237	1.6871944837745607	1.1372590501759738	1.0619254291350715	-0.09570121419346078
('evgLocus_strawberry_AE_27300_AAO83843.2_voltage-dependent_T-type_calcium_channel_alpha-1_subunit_isoform_A_[Lymnaea_stagnalis]', 'Category: Dense Projection')	1.2653262059455077	1.579216293615934	0.850991290220545	0.863546893727362	0.9966362908996228
('evgLocus_strawberry_AG_27619_AAO83843.2_voltage-dependent_T-type_calcium_channel_alpha-1_subunit_isoform_A_[Lymnaea_stagnalis]', 'Category: Dense Projection')	1.260303964542781	1.5566162073036633	0.850991290220545	0.9037248249491766	0.9966362908996228
('evgLocus_strawberry_AG_37497_XP_013085127.1_PREDICTED:_liprin-alpha-1-like_isoform_X3_[Biomphalaria_glabrata]', 'Category: AZ-Distal Zone')	1.8428839672590922	2.0161512956531675	1.98852896793817	2.021173537055894	1.4084600859232221
('evgLocus_strawberry_AG_63823_XP_013065695.1_PREDICTED:_liprin-beta-1-like_[Biomphalaria_glabrata]', 'Category: AZ-Distal Zone')	-0.30161311170526045	0.43916749519694565	0.4316341330928554	0.4015006846764945	-0.4171246639679773
('evgLocus_strawberry_AG_63826_XP_013065695.1_PREDICTED:_liprin-beta-1-like_[Biomphalaria_glabrata]', 'Category: AZ-Distal Zone')	-0.30161311170526045	0.38392283976695063	0.05245490718698044	0.3487671499478629	-0.3166798359134409
('evgLocus_Strawberry_DRR_11277_XP_013089274.1_PREDICTED:_centromere_protein_F-like_isoform_X4_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	-0.8136306227132598	-0.592903113063416	-0.6155031993756868	-0.5878808716606893	-0.8475307521816658
('evgLocus_Strawberry_DRR_59689_AAO83841.1_voltage-dependent_non-L-type_calcium_channel_alpha-1_subunit_isoform_A_[Lymnaea_stagnalis]', 'Category: Dense Projection')	2.3099524177126867	2.3727304352467717	2.4329973320794935	2.355152590337228	1.652038793955473
('evgLocus_stringtie_AE_31949_XP_013091038.1_PREDICTED:_myotubularin-related_protein_13-like_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	1.1096367224609762	0.8233689625055475	0.8108133589987304	0.7580798242700988	-0.4121024225652505
('evgLocus_Trinity_AE_41763_XP_013089794.1_PREDICTED:_protein_unc-13_homolog_A-like_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	3.7237133725802867	3.824158200634823	3.886936218168908	3.2817561291403265	2.9452659551576295
('evgLocus_Trinity_AE_43401_XP_012944290.1_PREDICTED:_dynamin-like_120_kDa_protein,_mitochondrial_isoform_X6_[Aplysia_californica]', 'Category: Peri-Active Zone')	1.536527241692756	1.5515939659009366	1.5591273280050268	1.481282586262761	1.2929485336605053
('evgLocus_Trinity_AE_65545_XP_013075366.1_PREDICTED:_kazrin-like_isoform_X4_[Biomphalaria_glabrata]', 'Category: AZ-Distal Zone')	-0.22125724926163132	0.06249938999243408	-0.23632397346981177	-0.5225917334252406	-0.5401695783347844
('evgLocus_Trinity_AG_71450_XP_012944243.1_PREDICTED:_synaptotagmin-like_protein_4_isoform_X8_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.06556776577709986	-0.22627949066435812	-0.1961460422479972	-0.14090138681800216	-0.6456366477920477
('evgLocus_Trinity_GG_DRR_45533_XP_013062165.1_PREDICTED:_RIMS-binding_protein_2-like_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	-0.2689685425875361	-0.27650190469162633	0.2382778390878728	-0.2714796632888995	-0.3443021636284384
('evgLocus_Trinity_GG_DRR_45534_XP_013062165.1_PREDICTED:_RIMS-binding_protein_2-like_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	-0.2689685425875361	-0.2790130253929897	-0.23883509417117518	-0.2714796632888995	-0.3443021636284384
('evgLocus_Trinity_GG_DRR_92025_AAO83846.1_synaptosomal-associated_25_protein_isoform_A_[Lymnaea_stagnalis]', 'Category: AZ-Proximal Zone')	-0.341791042927075	-0.4171246639679773	-0.4171246639679773	-0.41963578466934076	-0.3618800085379823
('evgLocus_Trinity_GG_DRR_127333_XP_012944243.1_PREDICTED:_synaptotagmin-like_protein_4_isoform_X8_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.07059000717982668	-0.103234576297551	-0.20367940435208742	-0.14341250751936557	-0.6431255270906843
('evgLocus_Scallop_AE_1716_XP_013088627.1_PREDICTED:_GTP-binding_protein_ypt1-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.5301250955293308	-0.7420636827244026	-0.7468348120569932	-0.7385481137424939	-0.7478392603375384
('evgLocus_Scallop_AE_17458_AAO83843.2_voltage-dependent_T-type_calcium_channel_alpha-1_subunit_isoform_A_[Lymnaea_stagnalis]', 'Category: Dense Projection')	1.2276593954250565	1.5415494830954828	0.8384356867137279	0.8585246523246353	0.9715250838859887
('evgLocus_Scallop_AE_21503_NP_001191556.1_Rab3_[Aplysia_californica]', 'Category: SV-Occupied Space')	0.009765855263802463	-0.08314561068664372	-0.035434317360738925	-0.08565673138800714	-0.09570121419346078
('evgLocus_Scallop_AE_23909_XP_013069789.1_PREDICTED:_two_pore_calcium_channel_protein_1-like_[Biomphalaria_glabrata]', 'Category: Dense Projection')	-0.7234813895343134	0.38141171906558724	-0.36690224994070914	0.5270567197446651	-0.7942949933127615
('evgLocus_Scallop_AE_30545_XP_012935054.1_PREDICTED:_ras-related_protein_RABF1-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.7184591481315866	-0.708414665326133	-0.7184591481315866	-0.7008813032220427	-0.708414665326133
('evgLocus_Scallop_AE_40318_XP_021345667.1_voltage-dependent_calcium_channel_gamma-5_subunit-like_[Mizuhopecten_yessoensis]', 'Category: Dense Projection')	-0.7410592344438572	-0.6129920786743234	-0.61048095797296	-0.6305699235838672	-0.7335258723397671
('evgLocus_scallop_AF_31833_XP_013079752.1_PREDICTED:_clathrin_heavy_chain_1_[Biomphalaria_glabrata]', 'Category: Peri-Active Zone')	6.07412234905644	6.347834505505051	6.377967953921412	6.365412350414595	5.3283195007515065
('evgLocus_scallop_AF_36077_XP_005109869.1_PREDICTED:_dynamin-like_120_kDa_protein,_mitochondrial_isoform_X5_[Aplysia_californica]', 'Category: Peri-Active Zone')	1.5315050002900292	1.5340161209913927	1.5515939659009366	1.481282586262761	1.2829040508550515
('evgLocus_scallop_AG_22217_XP_005095256.1_PREDICTED:_ras-related_protein_Rab-10-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.1961460422479972	-0.17856819733845333	-0.17856819733845333	-0.28403526679571656	-0.23632397346981177
('evgLocus_scallop_AH_12156_XP_013091331.1_PREDICTED:_clathrin_light_chain_A-like_isoform_X1_[Biomphalaria_glabrata]', 'Category: Peri-Active Zone')	-0.6732589755070452	-0.5728141474525088	-0.6004364751675063	-0.5853697509593259	-0.8570730108468468
('evgLocus_scallop_AH_24100_XP_012944640.1_PREDICTED:_regulating_synaptic_membrane_exocytosis_protein_2-like_[Aplysia_californica]', 'Category: AZ-Proximal Zone')	-0.6958590618193159	-0.7259925102356768	-0.740054786163312	-0.708414665326133	-0.7895238639801712
('evgLocus_Scallop_DRR_10384_AAO83844.1_calcium_channel_beta_subunit_splice_isoform_A+_[Lymnaea_stagnalis]', 'Category: Dense Projection')	0.49190102992557727	0.3939673225724043	0.47181206431467	0.3688561155587702	0.38141171906558724
('evgLocus_Scallop_DRR_14203_XP_013068489.1_PREDICTED:_uncharacterized_protein_LOC106056338_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.3869912155516164	-0.5426806990361479	-0.5552363025429649	-0.5477029404388747	-0.5703030267511454
('evgLocus_Scallop_DRR_55509_XP_013083697.1_PREDICTED:_AP-3_complex_subunit_delta-1-like_isoform_X2_[Biomphalaria_glabrata]', 'Category: Peri-Active Zone')	1.4034378445204954	1.9408176746122652	2.018662416354531	2.0136401749518043	1.506393793276395
('evgLocus_Scallop_DRR_60644_XP_013087198.1_PREDICTED:_uncharacterized_protein_LOC106071603_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.7134369067288597	-0.525102854126604	-0.5502140611402381	-0.5552363025429649	-0.7360369930411305
('evgLocus_strawberry_AE_38137_XP_013075212.1_PREDICTED:_ras-like_protein_family_member_10B_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.6205254407784135	-0.47739156080069917	-0.4347025088775212	-0.5125472506197869	-0.773954915631718
('evgLocus_strawberry_AE_48711_XP_005106091.1_PREDICTED:_clathrin_heavy_chain_1-like_[Aplysia_californica]', 'Category: Peri-Active Zone')	-0.427169146773431	-0.4171246639679773	-0.4171246639679773	-0.4146135432666139	-0.4121024225652505
('evgLocus_strawberry_AE_49393_XP_013094045.1_PREDICTED:_ras-like_GTP-binding_protein_RHO_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.12332354190845829	-0.11579017980436807	-0.13839026611663877	-0.12332354190845829	-0.16350147313027286
('evgLocus_strawberry_AF_17902_XP_012945559.1_PREDICTED:_rabphilin-3A-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.3819689741488896	0.5094788748351211	0.06249938999243408	0.331189305038319	-0.2664574218861727
('evgLocus_strawberry_AF_34611_AAO83845.1_syntaxin_1A_[Lymnaea_stagnalis]', 'Category: AZ-Proximal Zone')	0.05998826929107067	-0.04798992086755598	-0.017856472451195052	-0.032923196659375514	0.0022324931597122316
('evgLocus_strawberry_AF_39411_XP_005100565.1_PREDICTED:_voltage-dependent_calcium_channel_subunit_alpha-2/delta-2-like_isoform_X1_[Aplysia_californica]', 'Category: Dense Projection')	-0.09570121419346078	0.4065229260792213	0.45674534010648954	0.33621154644104584	-0.44976923308570166
('evgLocus_strawberry_AF_47363_XP_012944461.1_PREDICTED:_AP-1_complex_subunit_beta-1-like_[Aplysia_californica]', 'Category: Peri-Active Zone')	2.4154194871699497	2.4129083664685864	2.460619659794491	2.4078861250658594	2.021173537055894
('evgLocus_Strawberry_DRR_29145_AAK83049.1_synapsin_isoform_7.1_[Aplysia_californica]', 'Category: SV-Occupied Space')	0.03738818297879998	0.12025516612379253	0.11272180401970229	0.1654553387483339	-0.4648359572938821
('evgLocus_stringtie_AH_4779_XP_013061944.1_PREDICTED:_ras_and_EF-hand_domain-containing_protein-like_isoform_X2_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.6129920786743234	-0.4573025951897919	-0.11076793840164124	-0.45228035378706505	-0.44976923308570166
('evgLocus_Trinity_AE_2535_OWF35164.1_Synaptotagmin-15_[Mizuhopecten_yessoensis]', 'Category: SV-Occupied Space')	-0.5903919923620526	-0.46734707799524555	-0.37694673274616275	-0.5451918197375113	-0.6255476821811404
('evgLocus_Trinity_AE_41760_XP_013089794.1_PREDICTED:_protein_unc-13_homolog_A-like_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	3.8015581143225523	3.8291804420375497	3.879402856064818	3.3144006982580505	3.0005106105876242
('evgLocus_Trinity_AE_52868_XP_013091158.1_PREDICTED:_synaptotagmin-6-like_isoform_X1_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.4296802674747944	-0.3694133706420725	-0.4171246639679773	-0.4095913018638871	-0.44223587098161143
('evgLocus_Trinity_AE_68639_XP_012935879.1_PREDICTED:_uncharacterized_protein_LOC106011290_[Aplysia_californica]', 'Category: Dense Projection')	-0.7335258723397671	-0.8553152263558924	-0.8563196746364378	-0.8696286143536639	-0.8688752781432548
('evgLocus_Trinity_AF_66292_XP_013080360.1_PREDICTED:_voltage-dependent_calcium_channel_subunit_alpha-2/delta-3-like_[Biomphalaria_glabrata]', 'Category: Dense Projection')	-0.6054587165702331	-0.482413802203426	-0.49748052641160645	-0.5150583713211503	-0.6958590618193159
('evgLocus_Trinity_AF_122088_XP_013084894.1_PREDICTED:_LOW_QUALITY_PROTEIN:_AP-3_complex_subunit_beta-2-like_[Biomphalaria_glabrata]', 'Category: Peri-Active Zone')	1.2377038782305103	1.4360824136382195	1.4787714655613977	1.5164382760818487	0.6049014614869308
('evgLocus_Trinity_AG_137301_XP_006374595.1_hypothetical_protein_POPTR_0015s12470g_[Populus_trichocarpa]', 'Category: SV-Occupied Space')	-0.6506588891947745	-0.648147768493411	-0.6506588891947745	-0.6431255270906843	-0.6556811305975013
('evgLocus_Trinity_AG_140592_XP_013084922.1_PREDICTED:_GTP-binding_protein_Rhes-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.44223587098161143	-0.49748052641160645	-0.592903113063416	-0.537658457633421	-0.623036561479777
('evgLocus_Trinity_AH_10432_XP_013080012.1_PREDICTED:_extended_synaptotagmin-2-like_isoform_X2_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	0.4617675815092164	0.38141171906558724	0.4015006846764945	0.331189305038319	0.03989930368016339
('evgLocus_Trinity_AH_34475_XP_013080184.1_PREDICTED:_clathrin_heavy_chain_linker_domain-containing_protein_1-like_[Biomphalaria_glabrata]', 'Category: Peri-Active Zone')	-0.8658619333016188	-0.8224195451680317	-0.817397303765305	-0.4171246639679773	-0.8146350709938053
('evgLocus_Trinity_AH_67380_AGC13755.1_LNALCN-EEEE_[Lymnaea_stagnalis]', 'Category: Dense Projection')	3.8442471662457303	3.6483797515393843	3.6935799241639256	3.4525123368330384	2.74688741974992
('evgLocus_Trinity_AH_77062_XP_013067172.1_PREDICTED:_synaptotagmin-16-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.07310112788119008	-0.09067897279073396	-0.04798992086755598	0.03236594157607316	-0.72097026883295
('evgLocus_Trinity_AH_133602_AAO83849.1_neural-specific_syntaxin-binding_protein_1_[Lymnaea_stagnalis]', 'Category: AZ-Proximal Zone')	0.9765473252887155	0.9665028424832619	1.0217474979132568	0.9865918080941691	0.7656131863741891
('evgLocus_Trinity_GG_DRR_14950_AKH03688.1_voltage-gated_sodium_channel_alpha_subunit_LNav14b21+_[Lymnaea_stagnalis]', 'Category: Dense Projection')	1.2527706024386907	2.771998626763554	2.8799768169221807	2.8046431958812783	-0.11579017980436807
('evgLocus_Trinity_GG_DRR_50598_AAO83841.1_voltage-dependent_non-L-type_calcium_channel_alpha-1_subunit_isoform_A_[Lymnaea_stagnalis]', 'Category: Dense Projection')	2.335063624726321	2.3702193145454085	2.4329973320794935	2.375241555948135	1.6118608627336584
('evgLocus_Trinity_GG_DRR_54855_XP_013083175.1_PREDICTED:_rasGAP-activating-like_protein_1_isoform_X1_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.48743604360615284	0.2809668910110508	0.3060780980246849	0.4065229260792213	-0.7059035446247696
('evgLocus_Trinity_GG_DRR_62239_AAO83847.1_synaptotagmin_I_[Lymnaea_stagnalis]', 'Category: SV-Occupied Space')	0.2809668910110508	0.12527740752651934	0.16796645944969732	0.19558878716469486	0.11272180401970229
('evgLocus_Trinity_RF_Nov18_12214_AAO83846.1_synaptosomal-associated_25_protein_isoform_A_[Lymnaea_stagnalis]', 'Category: AZ-Proximal Zone')	-0.35183552573252863	-0.4296802674747944	-0.4447469916829748	-0.44223587098161143	-0.37694673274616275
('evgLocus_Trinity_RF_Nov18_28760_XP_013094557.1_PREDICTED:_synaptotagmin-7-like_isoform_X1_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.14090138681800216	-0.103234576297551	-0.08063448998528032	-0.06556776577709986	-0.3643911292393457
('evgLocus_Trinity_RF_Nov18_107240_XP_005099164.1_PREDICTED:_dnaJ_homolog_subfamily_C_member_27-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.6732589755070452	-0.648147768493411	-0.6330810442852306	-0.6858145790138622	-0.7008813032220427
('evgLocus_strawberry_AH_15275_XP_013076015.1_PREDICTED:_rho-related_protein_racA-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.6581922512988647	-0.6556811305975013	-0.6531700098961379	-0.6531700098961379	-0.6732589755070452
('evgLocus_Trinity_AF_136030_XP_013094581.1_PREDICTED:_synaptotagmin-7-like_isoform_X4_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.6280588028825038	-0.5527251818416015	-0.5627696646470551	-0.5728141474525088	-0.708414665326133
('evgLocus_Trinity_AH_85872_AAO83843.2_voltage-dependent_T-type_calcium_channel_alpha-1_subunit_isoform_A_[Lymnaea_stagnalis]', 'Category: Dense Projection')	1.2377038782305103	1.4762603448600342	0.8484801695191816	0.8660580144287254	0.979058445990079
('evgLocus_Trinity_AH_139152_XP_013079652.1_PREDICTED:_synaptobrevin_isoform_X1_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.6807923376111354	-0.6682367341043184	-0.6682367341043184	-0.6732589755070452	-0.6883256997152256
('evgLocus_Trinity_RF_Nov18_81716_XP_013091335.1_PREDICTED:_clathrin_light_chain_A-like_isoform_X5_[Biomphalaria_glabrata]', 'Category: Peri-Active Zone')	-0.6707478548056818	-0.5451918197375113	-0.5527251818416015	-0.5326362162306942	-0.8465263039011205
('evgLocus_scallop_AG_4605_AAO83838.2_voltage-dependent_L-type_calcium_channel_alpha-1_subunit_isoform_a_[Lymnaea_stagnalis]', 'Category: Dense Projection')	3.595646216810753	2.9628438000671733	3.334489663868958	3.1863335424885166	2.056329226874982
